station,lat,lon,ffcc,category
Retiro M,-34.5908,-58.375,mitre,first
Campana,-34.1566,-58.9585,mitre,first
Zárate,-34.0978,-59.0379,mitre,first
San Nicolás,-33.3437,-60.2272,mitre,first
Rosario Sur,-33.0092,-60.6503,mitre,first
Rosario Norte,-32.9305,-60.6575,mitre,first
La Banda,-27.7326,-64.2394,mitre,first
Tucumán M,-26.8207,-65.2112,mitre,first
Retiro SM,-34.5894,-58.3736,sm,first
Retiro B,-34.5901,-58.3742,b,first
Alta Córdoba,-31.3976,-64.1815,b,first
Córdoba,-31.4205,-64.1749,mitre,first
Rosario Oeste,-32.9452,-60.6927,b,first
Mendoza,-32.8829,-68.8483,sm,first
Tucumán B,-26.8246,-65.2149,b,first
La Plata,-34.9043,-57.9497,roca,first
Mar del Plata,-37.9884,-57.565,roca,first
Salta,-24.777,-65.4112,andino,first
Santa Fe M,-31.6544,-60.7239,mitre,first
Santa Fe B,-31.6463,-60.7009,b,first
San Juan,-31.5307,-68.538,sm,first
Resistencia,-27.4638,-58.9811,b,first
Once,-34.6084,-58.4075,dfs,first
Constitucián,-34.6289,-58.3807,roca,first
Lacroze,-34.5869,-58.4557,gu,first
Corrientes,-27.4977,-58.8147,gu,first
Neuquán,-38.9559,-68.0583,pat,first
Posadas,-27.3686,-55.8848,gu,first
Jujuy,-24.1834,-65.2988,b,first
Bahía Blanca,-38.7225,-62.2545,roca,first
Paraná,-31.7422,-60.5323,gu,first
San Luis,-33.2971,-66.3492,sm,first
Catamarca,-28.4774,-65.7773,b,first
Río Cuarto,-33.131,-64.3391,mitre,first
Concordia,-31.4036,-58.0125,gu,first
San Rafael,-34.6111,-68.3267,sm,first
Santa Rosa,-36.6162,-64.2926,dfs,first
Bariloche,-41.1302,-71.2742,pat,first
Villa Mercedes,-33.6608,-65.4569,sm,first
Tandil,-37.3106,-59.1365,roca,first
Formosa,-26.1834,-58.163,b,first
La Rioja,-29.4136,-66.847,b,first
Comodoro Rivadavia,-45.8627,-67.4783,pat,first
Villa María,-32.4112,-63.2461,,
Trelew (Nueva),-43.2477,-65.2911,,
Luján,-34.578,-59.1051,,
Río Gallegos,-51.6305,-69.2273,,
Reconquista,-29.1553,-59.6452,,
Rafaela M,-31.2491,-61.4763,,
Rafaela B,-31.261,-61.4826,,
Pergamino,-33.8894,-60.5684,,
Roque Sáenz Peña,-26.7946,-60.4412,,
Olavarría,-,-,,
San Martín,-,-,,
Junín,-,-,,
Campana,-,-,,
Quequén,-,-,,
Necochea,-,-,,
Gualeguaychú,-,-,,
General Roca,-,-,,
Puerto Madryn,-,-,,
Venado Tuerto,-,-,,
Orán,-,-,,
San Francisco,-,-,,
Viedma,-,-,,
Carmen de Patagones,-,-,,
Concepción del Uruguay,-,-,,
Goya,-,-,,
Villa Carlos Paz,-,-,,
Río Grande,-,-,,
Oberá,-,-,,
Tartagal,-,-,,
San Pedro de Jujuy,-,-,,
Punta Alta,-,-,,
Chivilcoy,-,-,,
Eldorado,-,-,,
Ushuaia,-,-,,
General Pico,-,-,,
Mercedes,-,-,,
Azul,-,-,,
Clorinda,-,-,,
Caleta Olivia,-,-,,
Concepción,-,-,,
Cutral Có,-,-,,
Alta Gracia,-,-,,
Villa Constitución,-,-,,
Villa Dolores,-,-,,
Jesús María,-,-,,
San Pedro,-,-,,
Tres Arroyos,-,-,,
Libertador General San Martín,-,-,,
Río Tercero,-,-,,
Perico,-,-,,
Paso de los Libres,-,-,,
Esperanza,-,-,,
Villa Angela,-,-,,
Puerto Iguazú,-,-,,
Gualeguay,-,-,,
Tafí Viejo,-,-,,
Chacabuco,-,-,,
Balcarce,-,-,,
Cosquín,-,-,,
Nueve de Julio,-,-,,
Bialet Massé,-,-,,
Valle Hermoso,-,-,,
La Falda,-,-,,
Casilda,-,-,,
Curuzú Cuatiá,-,-,,
Bell Ville,-,-,,
Río Segundo,-,-,,
Pilar,-,-,,
Chilecito,-,-,,
Chascomús,-,-,,
Mercedes,-,-,,
Trenque Lauquen,-,-,,
Bragado,-,-,,
Centenario,-,-,,
Aguilares,-,-,,
Villaguay,-,-,,
Chajarí,-,-,,
Esquel,-,-,,
Termas de Río Hondo,-,-,,
Zapala,-,-,,
Rawson,-,-,,
Pehuajó,-,-,,
General Güemes,-,-,,
Rivadavia,-,-,,
Cruz del Eje,-,-,,
Gobernador Virasoro,-,-,,
Victoria,-,-,,
Villa Regina,-,-,,
