station,lat,lon
Retiro M,-34.5908,-58.375
Escobar,-34.3496,-58.7952
Campana,-34.1566,-58.9585
Zárate,-34.0978,-59.0379
Lima,-34.0411,-59.1946
Alsina,-33.9095,-59.3924
Baradero,-33.8197,-59.5171
Río Tala,-33.7688,-59.6349
San Pedro,-33.6943,-59.6828
Gobernador Castro,-33.659,-59.8694
El Paraíso,-33.5707,-33.5707
Ramallo,-33.5018,-60.068
Villa General Savio,-33.4359,-60.1466
San Nicolás,-33.3437,-60.2272
Theobald,-33.3115,-60.3118
Emp. Villa Constitución,-33.2614,-60.3821
Arroyo Seco,-33.1565,-60.5091
Rosario Sur,-33.0092,-60.6503
Rosario Norte,-32.9305,-60.6575
San Lorenzo,-32.7534,-60.7471
Andino,-32.6674,-60.8719
Serrodino,-32.6067,-60.9502
Bernardo de Irigoyen,-32.1704,-61.1593
Gálvez,-32.0332,-61.2229
San Mariano,-31.6691,-61.3504
Rafaela,-31.2491,-61.4763
Sunchales,-30.9464,-61.567
Arrufó,-30.2335,-61.7314
Ceres,-29.8822,-61.9466
Pinto,-29.1436,-62.6577
Colonia Dora,-28.6042,-62.9519
Herrera,-28.4831,-63.0665
Lugones,-28.338,-63.3407
Garza,-28.1513,-63.5385
Fernández,-27.9228,-63.8936
Forres,-27.8755,-63.9803
Beltrán,-27.8311,-64.0615
Vilmer,-27.7826,-64.1493
La Banda,-27.7326,-64.2394
Ardiles,-27.4104,-64.4993
Gramilla,-27.2969,-64.6104
El Charco,-27.231,-64.7008
Tacanas,-27.1382,-64.8097
Aráoz,-27.0538,-64.9214
Ranchillos,-26.9575,-65.0447
Cevil Pozo,-26.8576,-65.1278
Alderetes,-26.8176,-65.1456
Tucumán M,-26.8207,-65.2112
Antártida Argentina,,
Funes,,
Roldán,,
San Gerónimo,,
Carcarañá,,
Correa,,
Cañada de Gómez,,
Armstrong,,
Tortugas,,
General Roca,,
Marcos Juárez,,
Leones,,
San Marcos Sud,,
Monte Leña,,
Bell Ville,,
Villa María,,
Tío Pujio,,
James Craik,,
Oliva,,
Oncativo,,
Manfredi,,
Laguna Larga,,
Pilar,,
Río Segundo,,
Toledo,,
Córdoba,,
